x;y;z
0;0;0
8.796419;950.0266;0.000079206366
16.779541;950.0908;0.00072707655
24.74888;950.1925;0.0025328912
32.70385;950.3311;0.0060481243
40.64389;950.50616;0.011788212
48.56844;950.7169;0.020234182
56.47696;950.9629;0.031834226
64.36893;951.24347;0.047005218
72.24382;951.558;0.06613416
80.10116;951.90576;0.089579634
87.94044;952.28625;0.11767309
95.76121;952.6987;0.15072022
103.563;953.1425;0.18900219
111.34539;953.6169;0.2327768
119.10795;954.1212;0.2822798
126.85026;954.6548;0.33772576
134.57193;955.21686;0.39930946
142.2726;955.8067;0.4672066
149.95189;956.4236;0.5415751
157.60945;957.0668;0.62255573
165.24496;957.73553;0.7102735
172.85812;958.4291;0.8048379
180.4486;959.1467;0.90634435
188.01613;959.88763;1.0148747
195.56042;960.65106;1.1304979
203.08125;961.4362;1.2532712
210.57837;962.2424;1.3832405
218.05154;963.0687;1.5204408
225.5006;963.9144;1.6648976
232.9253;964.7788;1.8166269
240.32549;965.661;1.9756361
247.70099;966.56024;2.1419244
255.0517;967.4757;2.3154833
262.37744;968.4067;2.4962974
269.6781;969.35236;2.684345
276.95358;970.3119;2.879598
284.20383;971.2845;3.082023
291.4287;972.2694;3.2915807
298.6282;973.26587;3.508228
305.80225;974.273;3.7319174
312.95084;975.29016;3.9625964
320.07388;976.3164;4.20021
334.2435;978.3934;4.696004
341.29007;979.4425;4.9540577
348.3112;980.4977;5.218796
355.30692;981.55817;5.490148
362.27725;982.62317;5.7680454
369.22232;983.692;6.0524154
376.14218;984.76385;6.343185
383.03693;985.83795;6.64028
389.90665;986.91364;6.9436245
396.75143;987.9901;7.253144
403.57144;989.06665;7.568761
410.36682;990.1426;7.890399
417.13766;991.2171;8.217982
423.88412;992.2896;8.551434
430.6064;993.35925;8.8906765
437.30466;994.4255;9.235635
443.97903;995.48755;9.586232
450.62976;996.54474;9.942394
457.257;997.59644;10.304046
463.86096;998.6419;10.671114
470.4419;999.68054;11.043526
476.99997;1000.7117;11.421208
483.53543;1001.7347;11.804091
490.04852;1002.7489;12.192105
496.53946;1003.7537;12.585181
503.0085;1004.74854;12.983253
509.45593;1005.73267;13.386253
515.88196;1006.7056;13.794117
522.28687;1007.66675;14.206783
528.67096;1008.6155;14.624188
535.0344;1009.5512;15.046272
541.3777;1010.47345;15.472978
547.70087;1011.3816;15.904245
554.00433;1012.2751;16.340023
560.2884;1013.1534;16.780252
566.55334;1014.01605;17.224884
572.7995;1014.8625;17.673868
579.0271;1015.69226;18.127153
585.2365;1016.5048;18.584694
591.42804;1017.2997;19.046444
597.602;1018.0764;19.51236
603.75867;1018.83453;19.982399
609.89844;1019.57355;20.45652
616.0216;1020.2931;20.934687
622.1285;1020.9927;21.41686
628.2194;1021.6719;21.903006
634.2948;1022.3303;22.39309
640.3548;1022.9676;22.88708
646.3999;1023.58325;23.384945
652.4304;1024.177;23.886658
658.44666;1024.7484;24.39219
664.449;1025.2971;24.901518
670.4377;1025.8229;25.414618
676.41315;1026.3253;25.931465
682.37573;1026.804;26.452044
688.3258;1027.2587;26.97633
694.2636;1027.6891;27.504309
700.1896;1028.0948;28.035965
706.10406;1028.4757;28.571283
712.0074;1028.8314;29.11025
717.89984;1029.1617;29.652857
723.7819;1029.4664;30.199093
729.6538;1029.7452;30.748947
735.516;1029.9978;31.302418
741.3687;1030.2241;31.859495
747.2124;1030.4238;32.420177
753.04736;1030.5968;32.98446
758.87396;1030.7428;33.552345
764.69257;1030.8617;34.12383
770.5035;1030.9532;34.698917
776.30707;1031.0175;35.277607
782.10376;1031.0541;35.85991
787.89374;1031.0629;36.445824
793.67755;1031.044;37.03536
799.4554;1030.9971;37.62852
805.2276;1030.9221;38.225323
810.9946;1030.8191;38.82577
816.75684;1030.6877;39.429882
822.51447;1030.5282;40.037663
828.2679;1030.3403;40.649128
834.01746;1030.124;41.264294
839.76355;1029.8794;41.883175
845.5065;1029.6062;42.505787
851.2466;1029.3046;43.132153
856.98425;1028.9745;43.762287
862.7197;1028.616;44.39621
868.4535;1028.229;45.033943
874.1857;1027.8136;45.67551
879.9169;1027.3699;46.320934
885.6473;1026.8978;46.970234
891.3772;1026.3975;47.62344
897.107;1025.8689;48.280575
902.8371;1025.3121;48.941666
908.5677;1024.7274;49.60674
914.2992;1024.1146;50.275826
920.0319;1023.4742;50.948948
925.76624;1022.8059;51.626144
931.50244;1022.11005;52.30744
937.2408;1021.3868;52.992867
942.98175;1020.63617;53.682457
948.7255;1019.8584;54.376244
954.47253;1019.0537;55.07426
960.223;1018.22217;55.77654
965.9773;1017.36395;56.483116
971.7358;1016.4794;57.194027
977.4987;1015.5686;57.909306
983.2664;1014.6318;58.62899
989.03925;1013.6692;59.353115
994.8175;1012.681;60.08172
1000.60144;1011.66754;60.814842
1006.39136;1010.629;61.552517
1012.1877;1009.5657;62.29479
1017.9906;1008.4778;63.041695
1023.80054;1007.36566;63.79327
1029.6177;1006.2296;64.54956
1035.4423;1005.0698;65.3106
1041.2748;1003.88666;66.07644
1047.1155;1002.6805;66.84711
1052.9645;1001.4515;67.62266
1058.8223;1000.20013;68.403114
1064.689;998.92664;69.18854
1070.565;997.6315;69.97896
1076.4506;996.3149;70.77442
1082.346;994.97723;71.57497
1088.2513;993.61896;72.380646
1094.1672;992.2404;73.19148
1100.0938;990.8419;74.00754
1106.0311;989.42395;74.82884
1111.9797;987.9868;75.65544
1117.9397;986.53094;76.48738
1123.9113;985.0568;77.3247
1129.8948;983.56476;78.16744
1135.8905;982.05524;79.01565
1141.8986;980.5286;79.869354
1147.9192;978.9855;80.728615
1153.9528;977.42615;81.59346
1159.9994;975.8511;82.463936
1166.0593;974.26074;83.34008
1172.1328;972.6556;84.22193
1178.22;971.03613;85.10954
1184.3212;969.4028;86.00294
1190.4364;967.75604;86.90217
1196.5659;966.0964;87.80726
1202.71;964.42426;88.71826
1208.8688;962.74023;89.635216
1215.0425;961.04474;90.55814
1221.2312;959.3383;91.4871
1227.435;957.62146;92.422104
1233.6544;955.89465;93.3632
1239.8892;954.1584;94.310425
1246.1396;952.4132;95.26381
1252.406;950.65967;96.22339
1258.6882;948.8982;97.189186
1264.9866;947.12946;98.16125
1271.301;945.3538;99.139595
1277.6318;943.5719;100.12427
1283.979;941.7842;101.11528
1290.3428;939.9912;102.11268
1296.723;938.1936;103.11647
1303.1201;936.3918;104.12669
1309.5338;934.5863;105.14337
1315.9644;932.7778;106.166534
1322.4119;930.9667;107.19619
1328.8762;929.15356;108.232376
1335.3575;927.339;109.2751
1341.856;925.5235;110.324394
1348.3713;923.7076;111.38027
1354.9038;921.8918;112.44274
1361.4534;920.0767;113.511826
1368.02;918.2628;114.58754
1374.6038;916.45074;115.66989
1381.2045;914.6409;116.7589
1387.8223;912.834;117.854576
1394.4572;911.03033;118.95692
1401.1089;909.23065;120.06594
1407.7776;907.43536;121.18165
1414.4631;905.645;122.30405
1421.1655;903.86017;123.433136
1427.8846;902.0813;124.56892
1434.6205;900.3089;125.711395
1441.3728;898.5436;126.86056
1448.1416;896.78577;128.0164
1454.9268;895.03595;129.17894
1461.7281;893.29474;130.34814
1468.5457;891.5625;131.52402
1475.3792;889.83984;132.70656
1482.2285;888.12714;133.89572
1489.0935;886.4249;135.09152
1495.9741;884.7337;136.29395
1502.87;883.0539;137.50296
1509.7812;881.386;138.71855
1516.7074;879.73047;139.94069
1523.6484;878.0877;141.16937
1530.6041;876.4582;142.40457
1537.5742;874.84235;143.64624
1544.5585;873.24066;144.89438
1551.5568;871.65344;146.14894
1558.569;870.08124;147.40991
1565.5947;868.52435;148.67726
1572.634;866.9832;149.95096
1579.6864;865.45825;151.23099
1586.752;863.9498;152.51732
1593.8303;862.4583;153.80992
1600.9211;860.98413;155.10875
1608.0244;859.5276;156.41377
1615.1398;858.0891;157.72496
1622.2671;856.669;159.04227
1629.406;855.26764;160.36566
1636.5563;853.8853;161.6951
1643.7175;852.5224;163.03053
1650.8898;851.1792;164.37192
1658.0725;849.856;165.71921
1665.2656;848.55316;167.07236
1672.4686;847.27094;168.43132
1679.6814;846.00964;169.79604
1686.9036;844.7695;171.16646
1694.1348;843.5507;172.54253
1701.3749;842.3537;173.9242
1708.6234;841.1786;175.31139
1715.8801;840.0257;176.70406
1723.1447;838.89514;178.10214
1730.4167;837.78723;179.50558
1737.696;836.70215;180.9143
1744.9822;835.64;182.32825
1752.2749;834.60114;183.74734
1759.5739;833.5856;185.17154
1766.8785;832.59357;186.60074
1774.1888;831.6252;188.0349
1781.5042;830.68066;189.47392
1788.8245;829.7601;190.91776
1796.149;828.8635;192.36632
1803.4779;827.9912;193.81953
1810.8104;827.1431;195.27731
1818.1462;826.3194;196.73961
1825.4852;825.5201;198.20631
1832.8269;824.74524;199.67737
1840.1708;823.99493;201.1527
1847.5166;823.2693;202.63219
